dataset,label,hour,count
aruba,Relax,17,5080
aruba,Relax,16,4687
aruba,Relax,15,4209
aruba,Relax,23,4205
aruba,Relax,14,3978
aruba,Relax,13,3149
aruba,Relax,8,2980
aruba,Relax,9,2941
aruba,Relax,12,2646
aruba,Relax,6,2145
aruba,Relax,10,2116
aruba,Relax,7,1941
aruba,Relax,11,1809
aruba,Relax,0,1226
aruba,Relax,5,822
aruba,Relax,1,339
aruba,Relax,4,95
aruba,Relax,2,73
aruba,Relax,3,54
aruba,Respirate,15,24
aruba,Respirate,7,11
aruba,Respirate,9,4
aruba,Respirate,17,4
aruba,Sleeping,5,7087
aruba,Sleeping,4,6908
aruba,Sleeping,3,6323
aruba,Sleeping,6,5811
aruba,Sleeping,2,5416
aruba,Sleeping,1,5082
aruba,Sleeping,0,5071
aruba,Sleeping,7,4166
aruba,Sleeping,23,2483
aruba,Sleeping,8,1559
aruba,Sleeping,22,1146
aruba,Sleeping,21,294
aruba,Sleeping,9,226
aruba,Sleeping,14,69
aruba,Sleeping,10,64
aruba,Sleeping,20,60
aruba,Sleeping,13,33
aruba,Sleeping,18,27
aruba,Sleeping,16,25
aruba,Sleeping,17,23
aruba,Sleeping,15,15
aruba,Sleeping,19,9
aruba,Sleeping,11,7
aruba,Sleeping,12,5
aruba,Wash_Dishes,10,67
aruba,Wash_Dishes,19,57
aruba,Wash_Dishes,11,53
aruba,Wash_Dishes,17,53
aruba,Wash_Dishes,18,28
aruba,Wash_Dishes,20,28
aruba,Wash_Dishes,16,26
aruba,Wash_Dishes,9,18
aruba,Wash_Dishes,21,15
aruba,Wash_Dishes,15,13
aruba,Wash_Dishes,7,9
aruba,Wash_Dishes,14,9
aruba,Wash_Dishes,12,4
aruba,Wash_Dishes,22,2
aruba,Work,16,373
aruba,Work,15,345
aruba,Work,12,331
aruba,Work,17,231
aruba,Work,14,186
aruba,Work,13,176
aruba,Work,11,149
aruba,Work,18,116
aruba,Work,8,107
aruba,Work,10,104
aruba,Work,6,94
aruba,Work,9,88
aruba,Work,7,79
aruba,Work,19,73
aruba,Work,20,62
aruba,Work,23,62
aruba,Work,21,57
aruba,Work,22,34
aruba,Work,5,4
cairo,Bed_to_Toilet,2,25
cairo,Bed_to_Toilet,3,14
cairo,Bed_to_Toilet,0,11
cairo,Bed_to_Toilet,1,5
cairo,Bed_to_Toilet,22,5
cairo,Bed_to_Toilet,23,4
cairo,Bed_to_Toilet,4,3
cairo,Breakfast,7,636
cairo,Breakfast,8,354
cairo,Breakfast,9,180
cairo,Breakfast,6,141
cairo,Breakfast,10,31
cairo,Dinner,18,1299
cairo,Dinner,17,471
cairo,Dinner,19,111
cairo,Dinner,20,10
cairo,Laundry,14,17
cairo,Laundry,10,15
cairo,Laundry,12,10
cairo,Laundry,16,7
cairo,Laundry,19,7
cairo,Laundry,9,5
cairo,Laundry,7,4
cairo,Laundry,15,3
cairo,Leave_Home,10,3
cairo,Lunch,12,677
cairo,Lunch,11,417
cairo,Lunch,13,38
cairo,Lunch,10,3
cairo,Night_Wandering,3,67
cairo,Night_Wandering,1,29
cairo,Night_Wandering,4,23
cairo,Night_Wandering,21,23
cairo,Night_Wandering,22,23
cairo,Night_Wandering,0,21
cairo,Night_Wandering,5,8
cairo,Night_Wandering,2,7
cairo,Night_Wandering,23,7
cairo,Night_Wandering,6,2
cairo,Night_Wandering,7,2
cairo,R1_Sleep,21,185
cairo,R1_Sleep,20,181
cairo,R1_Sleep,22,24
cairo,R1_Wake,6,103
cairo,R1_Wake,7,73
cairo,R1_Wake,5,11
cairo,R1_Wake,8,9
cairo,R1_Wake,9,8
cairo,R1_Wake,4,1
cairo,R1_Work,19,180
cairo,R1_Work,20,127
cairo,R1_Work,16,126
cairo,R1_Work,8,125
cairo,R1_Work,6,116
cairo,R1_Work,14,114
cairo,R1_Work,7,108
cairo,R1_Work,21,101
cairo,R1_Work,15,99
cairo,R1_Work,10,93
cairo,R1_Work,9,61
cairo,R1_Work,18,41
cairo,R1_Work,12,38
cairo,R1_Work,5,16
cairo,R1_Work,13,6
cairo,R2_Sleep,20,432
cairo,R2_Sleep,21,125
cairo,R2_Sleep,22,18
cairo,R2_Sleep,19,11
cairo,R2_Take_Medicine,6,6
cairo,R2_Take_Medicine,7,2
cairo,R2_Wake,7,287
cairo,R2_Wake,6,205
cairo,R2_Wake,8,103
cairo,R2_Wake,9,58
cairo,R2_Wake,5,28
cairo,R2_Wake,10,3
milan,Bed_to_Toilet,2,10
milan,Bed_to_Toilet,23,5
milan,Bed_to_Toilet,5,4
milan,Bed_to_Toilet,1,3
milan,Chores,10,85
milan,Chores,15,76
milan,Chores,14,59
milan,Chores,8,57
milan,Chores,9,38
milan,Chores,13,37
milan,Chores,11,31
milan,Chores,16,28
milan,Chores,12,20
milan,Chores,17,15
milan,Chores,7,11
milan,Desk_Activity,15,145
milan,Desk_Activity,12,102
milan,Desk_Activity,14,101
milan,Desk_Activity,16,83
milan,Desk_Activity,11,61
milan,Desk_Activity,10,60
milan,Desk_Activity,13,50
milan,Desk_Activity,17,48
milan,Desk_Activity,19,14
milan,Desk_Activity,18,12
milan,Desk_Activity,9,4
milan,Dining_Rm_Activity,18,73
milan,Dining_Rm_Activity,15,42
milan,Dining_Rm_Activity,13,35
milan,Dining_Rm_Activity,19,27
milan,Dining_Rm_Activity,14,26
milan,Dining_Rm_Activity,16,17
milan,Dining_Rm_Activity,10,16
milan,Dining_Rm_Activity,12,13
milan,Dining_Rm_Activity,11,8
milan,Dining_Rm_Activity,17,7
milan,Guest_Bathroom,11,72
milan,Guest_Bathroom,9,59
milan,Guest_Bathroom,10,48
milan,Guest_Bathroom,8,42
milan,Guest_Bathroom,12,38
milan,Guest_Bathroom,13,28
milan,Guest_Bathroom,18,28
milan,Guest_Bathroom,16,25
milan,Guest_Bathroom,14,24
milan,Guest_Bathroom,7,23
milan,Guest_Bathroom,20,16
milan,Guest_Bathroom,21,14
milan,Guest_Bathroom,17,8
milan,Guest_Bathroom,19,6
milan,Guest_Bathroom,22,4
milan,Guest_Bathroom,15,3
milan,Kitchen_Activity,17,654
milan,Kitchen_Activity,9,646
milan,Kitchen_Activity,11,619
milan,Kitchen_Activity,18,603
milan,Kitchen_Activity,13,583
milan,Kitchen_Activity,12,574
milan,Kitchen_Activity,14,543
milan,Kitchen_Activity,10,539
milan,Kitchen_Activity,16,412
milan,Kitchen_Activity,8,408
milan,Kitchen_Activity,15,302
milan,Kitchen_Activity,19,228
milan,Kitchen_Activity,20,109
milan,Kitchen_Activity,7,99
milan,Kitchen_Activity,21,52
milan,Kitchen_Activity,6,38
milan,Kitchen_Activity,22,30
milan,Kitchen_Activity,5,2
milan,Leave_Home,13,254
milan,Leave_Home,11,250
milan,Leave_Home,12,178
milan,Leave_Home,18,170
milan,Leave_Home,14,168
milan,Leave_Home,10,164
milan,Leave_Home,17,154
milan,Leave_Home,19,113
milan,Leave_Home,20,99
milan,Leave_Home,15,81
milan,Leave_Home,9,66
milan,Leave_Home,16,52
milan,Leave_Home,8,46
milan,Leave_Home,22,10
milan,Leave_Home,21,8
milan,Leave_Home,7,7
milan,Master_Bathroom,11,205
milan,Master_Bathroom,21,201
milan,Master_Bathroom,10,180
milan,Master_Bathroom,22,159
milan,Master_Bathroom,9,124
milan,Master_Bathroom,12,78
milan,Master_Bathroom,19,71
milan,Master_Bathroom,14,65
milan,Master_Bathroom,20,60
milan,Master_Bathroom,13,47
milan,Master_Bathroom,17,30
milan,Master_Bathroom,16,29
milan,Master_Bathroom,23,27
milan,Master_Bathroom,15,19
milan,Master_Bathroom,7,16
milan,Master_Bathroom,8,13
milan,Master_Bathroom,18,11
milan,Master_Bedroom_Activity,12,376
milan,Master_Bedroom_Activity,11,265
milan,Master_Bedroom_Activity,10,237
milan,Master_Bedroom_Activity,13,166
milan,Master_Bedroom_Activity,16,126
milan,Master_Bedroom_Activity,14,119
milan,Master_Bedroom_Activity,15,99
milan,Master_Bedroom_Activity,18,88
milan,Master_Bedroom_Activity,9,86
milan,Master_Bedroom_Activity,8,70
milan,Master_Bedroom_Activity,17,66
milan,Master_Bedroom_Activity,19,30
milan,Master_Bedroom_Activity,21,10
milan,Master_Bedroom_Activity,22,7
milan,Master_Bedroom_Activity,6,5
milan,Meditate,13,19
milan,Meditate,14,15
milan,Meditate,12,14
milan,Meditate,19,12
milan,Meditate,10,4
milan,Meditate,15,4
milan,Meditate,11,3
milan,Morning_Meds,10,4
milan,Morning_Meds,8,2
milan,Read,9,1042
milan,Read,10,905
milan,Read,20,903
milan,Read,21,789
milan,Read,13,760
milan,Read,14,758
milan,Read,12,747
milan,Read,15,732
milan,Read,11,645
milan,Read,16,570
milan,Read,8,567
milan,Read,19,543
milan,Read,17,528
milan,Read,18,296
milan,Read,22,108
milan,Read,7,6
milan,Sleep,7,834
milan,Sleep,6,782
milan,Sleep,22,772
milan,Sleep,5,646
milan,Sleep,23,574
milan,Sleep,3,555
milan,Sleep,8,529
milan,Sleep,4,513
milan,Sleep,2,474
milan,Sleep,1,450
milan,Sleep,0,442
milan,Sleep,21,380
milan,Sleep,9,202
milan,Sleep,10,139
milan,Sleep,11,127
milan,Sleep,12,98
milan,Sleep,13,81
milan,Sleep,14,73
milan,Sleep,20,9
milan,Watch_TV,16,868
milan,Watch_TV,18,715
milan,Watch_TV,17,701
milan,Watch_TV,19,687
milan,Watch_TV,20,617
milan,Watch_TV,15,564
milan,Watch_TV,21,366
milan,Watch_TV,22,162
milan,Watch_TV,14,98
milan,Watch_TV,11,62
milan,Watch_TV,13,52
milan,Watch_TV,23,52
milan,Watch_TV,10,28
milan,Watch_TV,12,26
milan,Watch_TV,8,20
tulum1,Cook_Breakfast,7,1260
tulum1,Cook_Breakfast,8,21
tulum1,Cook_Breakfast,9,20
tulum1,Cook_Breakfast,6,17
tulum1,Cook_Lunch,7,582
tulum1,Cook_Lunch,8,35
tulum1,Cook_Lunch,9,5
tulum1,Enter_Home,17,28
tulum1,Enter_Home,19,19
tulum1,Enter_Home,21,17
tulum1,Enter_Home,18,13
tulum1,Enter_Home,16,3
tulum1,Group_Meeting,20,624
tulum1,Group_Meeting,19,576
tulum1,Group_Meeting,21,426
tulum1,Group_Meeting,18,99
tulum1,Group_Meeting,22,91
tulum1,Group_Meeting,17,9
tulum1,Leave_Home,7,35
tulum1,Leave_Home,8,3
tulum1,R1_Eat_Breakfast,7,387
tulum1,R1_Eat_Breakfast,8,290
tulum1,R1_Eat_Breakfast,9,30
tulum1,R1_Eat_Breakfast,10,17
tulum1,R1_Snack,8,558
tulum1,R1_Snack,9,425
tulum1,R1_Snack,10,413
tulum1,R1_Snack,16,393
tulum1,R1_Snack,11,387
tulum1,R1_Snack,12,335
tulum1,R1_Snack,17,310
tulum1,R1_Snack,13,298
tulum1,R1_Snack,14,238
tulum1,R1_Snack,15,116
tulum1,R1_Snack,18,96
tulum1,R1_Snack,7,30
tulum1,R1_Snack,19,15
tulum1,R2_Eat_Breakfast,7,276
tulum1,R2_Eat_Breakfast,8,12
tulum1,R2_Eat_Breakfast,9,4
tulum1,Wash_Dishes,8,579
tulum1,Wash_Dishes,9,253
tulum1,Wash_Dishes,7,110
tulum1,Wash_Dishes,10,60
tulum1,Wash_Dishes,11,37
tulum1,Wash_Dishes,12,22
tulum1,Wash_Dishes,18,12
tulum1,Wash_Dishes,17,10
tulum1,Wash_Dishes,16,5
tulum1,Wash_Dishes,13,4
tulum1,Watch_TV,13,519
tulum1,Watch_TV,21,362
tulum1,Watch_TV,12,357
tulum1,Watch_TV,14,348
tulum1,Watch_TV,17,348
tulum1,Watch_TV,11,338
tulum1,Watch_TV,16,325
tulum1,Watch_TV,19,321
tulum1,Watch_TV,15,275
tulum1,Watch_TV,9,253
tulum1,Watch_TV,10,251
tulum1,Watch_TV,20,237
tulum1,Watch_TV,18,216
tulum1,Watch_TV,8,214
tulum1,Watch_TV,22,190
tulum1,Watch_TV,23,21
tulum1,Watch_TV,7,16
tulum2,Bathing,23,177
tulum2,Bathing,21,140
tulum2,Bathing,22,126
tulum2,Bathing,10,95
tulum2,Bathing,15,67
tulum2,Bathing,0,61
tulum2,Bathing,17,61
tulum2,Bathing,8,59
tulum2,Bathing,11,50
tulum2,Bathing,14,48
tulum2,Bathing,18,36
tulum2,Bathing,16,31
tulum2,Bathing,20,21
tulum2,Bathing,7,18
tulum2,Bathing,9,18
tulum2,Bathing,12,15
tulum2,Bathing,1,3
tulum2,Bed_Toilet_Transition,10,9
tulum2,Bed_Toilet_Transition,8,3
tulum2,Eating,19,779
tulum2,Eating,12,705
tulum2,Eating,18,675
tulum2,Eating,20,234
tulum2,Eating,11,184
tulum2,Eating,17,183
tulum2,Eating,13,149
tulum2,Eating,9,146
tulum2,Eating,8,134
tulum2,Eating,10,97
tulum2,Eating,14,69
tulum2,Eating,16,68
tulum2,Eating,21,56
tulum2,Eating,7,17
tulum2,Eating,15,10
tulum2,Eating,22,4
tulum2,Enter_Home,19,1
tulum2,Leave_Home,14,3
tulum2,Leave_Home,9,2
tulum2,Meal_Preparation,18,731
tulum2,Meal_Preparation,17,361
tulum2,Meal_Preparation,12,289
tulum2,Meal_Preparation,19,275
tulum2,Meal_Preparation,11,165
tulum2,Meal_Preparation,16,144
tulum2,Meal_Preparation,20,133
tulum2,Meal_Preparation,21,111
tulum2,Meal_Preparation,22,94
tulum2,Meal_Preparation,9,93
tulum2,Meal_Preparation,14,87
tulum2,Meal_Preparation,13,80
tulum2,Meal_Preparation,15,71
tulum2,Meal_Preparation,8,58
tulum2,Meal_Preparation,10,45
tulum2,Meal_Preparation,23,30
tulum2,Meal_Preparation,7,6
tulum2,Meal_Preparation,0,1
tulum2,Personal_Hygiene,20,139
tulum2,Personal_Hygiene,11,134
tulum2,Personal_Hygiene,13,134
tulum2,Personal_Hygiene,10,130
tulum2,Personal_Hygiene,22,117
tulum2,Personal_Hygiene,21,112
tulum2,Personal_Hygiene,23,109
tulum2,Personal_Hygiene,9,92
tulum2,Personal_Hygiene,19,86
tulum2,Personal_Hygiene,15,75
tulum2,Personal_Hygiene,14,59
tulum2,Personal_Hygiene,12,54
tulum2,Personal_Hygiene,17,49
tulum2,Personal_Hygiene,16,35
tulum2,Personal_Hygiene,8,32
tulum2,Personal_Hygiene,18,31
tulum2,Personal_Hygiene,0,30
tulum2,Personal_Hygiene,7,18
tulum2,Personal_Hygiene,1,7
tulum2,R1_Sleeping_in_Bed,3,2943
tulum2,R1_Sleeping_in_Bed,4,2777
tulum2,R1_Sleeping_in_Bed,5,2664
tulum2,R1_Sleeping_in_Bed,2,2637
tulum2,R1_Sleeping_in_Bed,6,2417
tulum2,R1_Sleeping_in_Bed,1,2337
tulum2,R1_Sleeping_in_Bed,0,2270
tulum2,R1_Sleeping_in_Bed,7,1994
tulum2,R1_Sleeping_in_Bed,8,1738
tulum2,R1_Sleeping_in_Bed,23,1313
tulum2,R1_Sleeping_in_Bed,9,649
tulum2,R1_Sleeping_in_Bed,22,380
tulum2,R1_Sleeping_in_Bed,10,249
tulum2,R1_Sleeping_in_Bed,21,81
tulum2,R1_Sleeping_in_Bed,13,73
tulum2,R1_Sleeping_in_Bed,11,54
tulum2,R1_Sleeping_in_Bed,14,46
tulum2,R1_Sleeping_in_Bed,15,39
tulum2,R1_Sleeping_in_Bed,12,29
tulum2,R1_Sleeping_in_Bed,20,16
tulum2,R2_Sleeping_in_Bed,9,855
tulum2,R2_Sleeping_in_Bed,8,800
tulum2,R2_Sleeping_in_Bed,10,602
tulum2,R2_Sleeping_in_Bed,7,389
tulum2,R2_Sleeping_in_Bed,6,297
tulum2,R2_Sleeping_in_Bed,4,277
tulum2,R2_Sleeping_in_Bed,1,253
tulum2,R2_Sleeping_in_Bed,3,228
tulum2,R2_Sleeping_in_Bed,5,201
tulum2,R2_Sleeping_in_Bed,2,178
tulum2,R2_Sleeping_in_Bed,0,175
tulum2,R2_Sleeping_in_Bed,11,170
tulum2,R2_Sleeping_in_Bed,23,12
tulum2,R2_Sleeping_in_Bed,12,5
tulum2,Wash_Dishes,19,69
tulum2,Wash_Dishes,20,57
tulum2,Wash_Dishes,21,33
tulum2,Wash_Dishes,13,27
tulum2,Wash_Dishes,18,16
tulum2,Wash_Dishes,22,9
tulum2,Wash_Dishes,17,8
tulum2,Wash_Dishes,12,6
tulum2,Wash_Dishes,14,6
tulum2,Watch_TV,20,1986
tulum2,Watch_TV,19,1795
tulum2,Watch_TV,21,1413
tulum2,Watch_TV,22,1234
tulum2,Watch_TV,18,1048
tulum2,Watch_TV,23,859
tulum2,Watch_TV,12,339
tulum2,Watch_TV,16,300
tulum2,Watch_TV,13,261
tulum2,Watch_TV,17,255
tulum2,Watch_TV,15,229
tulum2,Watch_TV,10,226
tulum2,Watch_TV,0,218
tulum2,Watch_TV,11,188
tulum2,Watch_TV,14,176
tulum2,Watch_TV,9,88
tulum2,Watch_TV,1,52
tulum2,Watch_TV,8,25
tulum2,Watch_TV,7,13
tulum2,Watch_TV,2,8
tulum2,Work_Bedroom_1,17,609
tulum2,Work_Bedroom_1,15,464
tulum2,Work_Bedroom_1,16,456
tulum2,Work_Bedroom_1,14,445
tulum2,Work_Bedroom_1,22,420
tulum2,Work_Bedroom_1,23,394
tulum2,Work_Bedroom_1,18,379
tulum2,Work_Bedroom_1,20,377
tulum2,Work_Bedroom_1,12,352
tulum2,Work_Bedroom_1,13,332
tulum2,Work_Bedroom_1,19,298
tulum2,Work_Bedroom_1,21,298
tulum2,Work_Bedroom_1,11,266
tulum2,Work_Bedroom_1,10,175
tulum2,Work_Bedroom_1,9,121
tulum2,Work_Bedroom_1,0,55
tulum2,Work_Bedroom_1,1,9
tulum2,Work_Bedroom_1,8,6
tulum2,Work_Bedroom_2,22,1739
tulum2,Work_Bedroom_2,23,1683
tulum2,Work_Bedroom_2,21,1443
tulum2,Work_Bedroom_2,0,933
tulum2,Work_Bedroom_2,17,855
tulum2,Work_Bedroom_2,20,811
tulum2,Work_Bedroom_2,16,724
tulum2,Work_Bedroom_2,1,608
tulum2,Work_Bedroom_2,15,580
tulum2,Work_Bedroom_2,11,577
tulum2,Work_Bedroom_2,10,525
tulum2,Work_Bedroom_2,18,500
tulum2,Work_Bedroom_2,19,477
tulum2,Work_Bedroom_2,14,409
tulum2,Work_Bedroom_2,13,408
tulum2,Work_Bedroom_2,12,323
tulum2,Work_Bedroom_2,2,136
tulum2,Work_Bedroom_2,9,75
tulum2,Work_Bedroom_2,5,35
tulum2,Work_Bedroom_2,4,33
tulum2,Work_Bedroom_2,6,31
tulum2,Work_Bedroom_2,3,19
tulum2,Work_Bedroom_2,7,11
tulum2,Work_Bedroom_2,8,4
tulum2,Work_LivingRm,13,1015
tulum2,Work_LivingRm,15,914
tulum2,Work_LivingRm,16,801
tulum2,Work_LivingRm,17,781
tulum2,Work_LivingRm,11,778
tulum2,Work_LivingRm,12,748
tulum2,Work_LivingRm,14,729
tulum2,Work_LivingRm,10,394
tulum2,Work_LivingRm,9,144
tulum2,Work_LivingRm,18,106
tulum2,Work_LivingRm,21,28
tulum2,Work_LivingRm,20,16
tulum2,Work_LivingRm,8,13
tulum2,Work_LivingRm,23,4
tulum2,Work_Table,21,313
tulum2,Work_Table,13,272
tulum2,Work_Table,20,247
tulum2,Work_Table,14,220
tulum2,Work_Table,22,203
tulum2,Work_Table,19,168
tulum2,Work_Table,15,141
tulum2,Work_Table,17,118
tulum2,Work_Table,12,115
tulum2,Work_Table,18,111
tulum2,Work_Table,16,87
tulum2,Work_Table,11,65
tulum2,Work_Table,10,17
tulum2,Work_Table,23,12
tulum2,Work_Table,0,4
tulum2,Yoga,14,55
tulum2,Yoga,17,44
tulum2,Yoga,20,40
tulum2,Yoga,13,37
tulum2,Yoga,16,29
tulum2,Yoga,15,24
tulum2,Yoga,19,17
tulum2,Yoga,12,11
